"","x"
"1","ENSG00000250961"
"2","ENSG00000109107"
"3","ENSG00000135447"
"4","ENSG00000223375"
"5","ENSG00000159387"
"6","ENSG00000109846"
"7","ENSG00000206120"
"8","ENSG00000171094"
"9","ENSG00000185818"
"10","ENSG00000120049"
"11","ENSG00000255545"
"12","ENSG00000125740"
"13","ENSG00000175445"
"14","ENSG00000167434"
"15","ENSG00000079435"
"16","ENSG00000265158"
"17","ENSG00000080493"
"18","ENSG00000122756"
"19","ENSG00000160307"
"20","ENSG00000144908"
"21","ENSG00000246363"
"22","ENSG00000278601"
"23","ENSG00000189221"
"24","ENSG00000103647"
"25","ENSG00000173641"
"26","ENSG00000105997"
"27","ENSG00000151632"
"28","ENSG00000213904"
"29","ENSG00000158856"
"30","ENSG00000056998"
"31","ENSG00000135917"
"32","ENSG00000169067"
"33","ENSG00000133401"
"34","ENSG00000124743"
"35","ENSG00000250308"
"36","ENSG00000181856"
"37","ENSG00000112964"
"38","ENSG00000198848"
"39","ENSG00000249695"
"40","ENSG00000162620"
