"","x"
"1","ENSG00000188404"
"2","ENSG00000181847"
"3","ENSG00000099953"
"4","ENSG00000224950"
"5","ENSG00000138755"
"6","ENSG00000166509"
"7","ENSG00000122641"
"8","ENSG00000211892"
"9","ENSG00000143546"
"10","ENSG00000160856"
"11","ENSG00000171951"
"12","ENSG00000163600"
"13","ENSG00000078081"
"14","ENSG00000198178"
"15","ENSG00000103522"
"16","ENSG00000172724"
"17","ENSG00000211734"
"18","ENSG00000270120"
"19","ENSG00000172061"
"20","ENSG00000164932"
"21","ENSG00000197540"
"22","ENSG00000277734"
"23","ENSG00000198821"
"24","ENSG00000121594"
"25","ENSG00000109684"
"26","ENSG00000211856"
"27","ENSG00000124721"
"28","ENSG00000163599"
"29","ENSG00000163220"
"30","ENSG00000235123"
"31","ENSG00000049249"
"32","ENSG00000265531"
"33","ENSG00000198734"
"34","ENSG00000227507"
"35","ENSG00000248366"
"36","ENSG00000163993"
"37","ENSG00000183242"
"38","ENSG00000179934"
"39","ENSG00000211849"
"40","ENSG00000198851"
"41","ENSG00000079263"
"42","ENSG00000205420"
"43","ENSG00000100721"
"44","ENSG00000211746"
"45","ENSG00000231758"
"46","ENSG00000198846"
"47","ENSG00000155307"
"48","ENSG00000211728"
"49","ENSG00000137571"
"50","ENSG00000153898"
"51","ENSG00000152969"
"52","ENSG00000104951"
"53","ENSG00000174482"
"54","ENSG00000090382"
"55","ENSG00000225460"
"56","ENSG00000050730"
"57","ENSG00000229173"
"58","ENSG00000271856"
"59","ENSG00000225591"
"60","ENSG00000049768"
"61","ENSG00000107742"
"62","ENSG00000183918"
"63","ENSG00000268027"
"64","ENSG00000259598"
"65","ENSG00000156738"
"66","ENSG00000102970"
"67","ENSG00000089012"
"68","ENSG00000162892"
"69","ENSG00000172322"
"70","ENSG00000104972"
"71","ENSG00000116824"
"72","ENSG00000186810"
"73","ENSG00000184937"
"74","ENSG00000146285"
"75","ENSG00000225783"
"76","ENSG00000103257"
"77","ENSG00000223552"
"78","ENSG00000213049"
"79","ENSG00000211885"
"80","ENSG00000171428"
"81","ENSG00000211861"
"82","ENSG00000160185"
"83","ENSG00000177455"
"84","ENSG00000078589"
"85","ENSG00000096996"
"86","ENSG00000220517"
"87","ENSG00000232792"
"88","ENSG00000113263"
"89","ENSG00000196684"
"90","ENSG00000173200"
"91","ENSG00000163508"
"92","ENSG00000213244"
"93","ENSG00000211866"
"94","ENSG00000113302"
"95","ENSG00000268583"
"96","ENSG00000211779"
"97","ENSG00000183813"
"98","ENSG00000077984"
"99","ENSG00000225314"
"100","ENSG00000258760"
"101","ENSG00000105639"
"102","ENSG00000182866"
"103","ENSG00000187862"
"104","ENSG00000023445"
"105","ENSG00000126353"
"106","ENSG00000173391"
